City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,storforshei,66.4,14.52,8.67,84,28,1.32,NO,1615093369
216,fomboni,-12.28,43.74,83.37,72,90,10.74,KM,1615093314
217,upernavik,72.79,-56.15,-11.43,88,100,10.96,GL,1615093370
218,quatre cocos,-20.21,57.76,80.01,94,75,11.5,MU,1615093370
219,taoudenni,22.68,-3.98,65.7,36,0,9.48,ML,1615093261
220,igarka,67.47,86.58,8.8,94,100,5.28,RU,1615093374
221,santa isabel,-23.32,-46.22,68.0,100,75,4.61,BR,1615093375
222,kandri,21.42,79.27,87.8,20,0,3.44,IN,1615093376
223,lazarev,52.22,141.51,9.64,86,0,6.82,RU,1615093376
224,santa cruz,-17.8,-63.17,73.4,94,40,2.3,BO,1615093377
225,dubinino,55.62,89.09,25.63,92,76,18.5,RU,1615093378
226,christchurch,-43.53,172.63,62.6,55,75,10.36,NZ,1615093202
227,semporna,4.48,118.61,86.0,70,20,8.05,MY,1615093379
228,tarasovskiy,48.73,40.36,26.42,92,0,11.07,RU,1615093380
229,catamarca,-28.47,-65.79,78.01,76,1,5.99,AR,1615093252
230,nikolskoye,59.7,30.79,21.2,79,75,13.42,RU,1615093381
231,swan river,52.11,-101.27,44.6,61,99,4.61,CA,1615093318
232,merauke,-8.47,140.33,85.87,66,66,9.64,ID,1615093382
233,fallon,39.47,-118.78,37.4,41,1,9.22,US,1615093383
234,tura,25.52,90.22,84.13,34,0,4.54,IN,1615093384
235,sinegorye,62.08,150.48,-6.9,82,97,3.2,RU,1615093384
236,nanning,22.82,108.32,68.0,60,0,2.24,CN,1615093385
237,taltal,-25.4,-70.48,66.49,79,28,0.81,CL,1615093271
238,kyren,51.68,102.14,33.06,82,42,1.43,RU,1615093386
239,mehamn,71.04,27.85,26.11,89,26,18.9,NO,1615093387
240,bykovo,55.64,38.08,19.99,86,75,13.42,RU,1615093388
241,kazuno,40.18,140.79,33.8,60,40,11.5,JP,1615093388
242,panjab,34.39,67.02,29.05,94,90,3.98,AF,1615093389
243,jiuquan,39.74,98.52,51.21,37,0,6.4,CN,1615093193
244,vestmannaeyjar,63.44,-20.27,39.54,74,6,11.52,IS,1615093390
245,gushikawa,26.35,127.87,69.8,94,75,17.27,JP,1615093284
246,hamilton,39.18,-84.53,34.0,80,1,2.89,US,1615093296
247,ondjiva,-17.07,15.73,66.85,57,32,5.35,AO,1615093392
248,bahia blanca,-38.72,-62.27,79.12,28,29,12.93,AR,1615093213
249,bama,11.52,13.69,64.89,37,0,4.27,NG,1615093393
250,dergachi,51.23,48.77,14.7,95,86,5.77,RU,1615093394
251,komsomolskiy,40.43,71.72,48.2,53,75,4.61,UZ,1615093292
252,kainantu,-6.29,145.87,70.38,85,97,0.16,PG,1615093395
253,karratha,-20.74,116.85,90.7,51,4,14.72,AU,1615093395
254,tual,-5.67,132.75,82.31,77,88,18.1,ID,1615093396
255,praia da vitoria,38.73,-27.07,60.8,94,40,14.07,PT,1615093397
256,dilla,6.41,38.31,69.35,34,31,0.98,ET,1615093397
257,san patricio,28.02,-97.52,53.6,76,1,5.75,US,1615093398
258,buchanan,5.88,-10.05,77.97,89,99,4.94,LR,1615093314
259,camargo,27.67,-105.17,57.4,37,0,10.36,MX,1615093399
260,lenger,42.18,69.88,39.2,93,75,2.24,KZ,1615093400
261,nizhniy kuranakh,58.84,125.49,14.25,94,100,7.67,RU,1615093400
